country,year,value
Spain,2005,2436.3
Spain,2006,2027.8
Spain,2007,2632.1
Spain,2008,-1002.1
Spain,2009,-1363.8
Spain,2010,-2285.8
Spain,2011,988
Spain,2012,2817.3
Spain,2013,2496.5
Spain,2014,5305.1
Spain,2015,2879.1
Spain,2016,2905.1
Spain,2017,4405.1
Spain,2018,5900.2
Sweden,1995,2910.2
Sweden,1996,3089.3
Sweden,1997,3115.4
Sweden,1998,3284.8
Sweden,1999,4107.5
Sweden,2000,4546.4
Sweden,2001,5008.7
Sweden,2002,6952.4
Sweden,2003,9190.9
Sweden,2004,10500
Sweden,2005,11046
Sweden,2006,10558.1
Sweden,2007,7445.8
Sweden,2008,4444.3
Sweden,2009,510.2
Sweden,2010,1620.2
Sweden,2011,859.9
Sweden,2012,-220.8
Sweden,2013,-920.5
Sweden,2014,-101.9
Sweden,2015,1271.6
Sweden,2016,1769.6
Sweden,2017,2665.1
Sweden,2018,2508.6
Switzerland,1995,3399.4
Switzerland,1996,2900.8
Switzerland,1997,3164.1
Switzerland,1998,4856.2
Switzerland,1999,6755.7
Switzerland,2000,8296.3
Switzerland,2001,10579
Switzerland,2002,10683.6
Switzerland,2003,13093.5
Switzerland,2004,13790.3
Switzerland,2005,14748.3
Switzerland,2006,17996
Switzerland,2007,18750.1
Switzerland,2008,23102
Switzerland,2009,21264.7
Switzerland,2010,27130.4
Switzerland,2011,29537
Switzerland,2012,27131
Switzerland,2013,31483.8
Switzerland,2014,19282.2
Switzerland,2015,30898.3
Switzerland,2016,32046.8
Switzerland,2017,32750.8
Switzerland,2018,36202.7
Türkiye,1995,981.9
Türkiye,1996,1753.8
Türkiye,1997,1202.7
Türkiye,1998,1863.8
Türkiye,1999,1820.3
Türkiye,2000,2904.2
Türkiye,2001,2818.5
Türkiye,2002,3434.5
Türkiye,2003,3249.6
Türkiye,2004,3229.5
Türkiye,2005,2791.8
Türkiye,2006,2333.7
Türkiye,2007,-877.5
Türkiye,2008,-4194.5
Türkiye,2009,-2487.9
Türkiye,2010,-4599.4
Türkiye,2011,-6845.2
Türkiye,2012,-2904
Türkiye,2013,-3734.1
Türkiye,2014,-3807.9
Türkiye,2015,-1255.1
Türkiye,2016,-1288.4
Türkiye,2017,-919.5
Türkiye,2018,424.4
United Kingdom,1995,277.1
United Kingdom,1996,724.9
United Kingdom,1997,1077
United Kingdom,1998,-228.2
United Kingdom,1999,2743.6
United Kingdom,2000,5021
United Kingdom,2001,4476
United Kingdom,2002,7856.5
United Kingdom,2003,18931.3
United Kingdom,2004,22365.4
United Kingdom,2005,25639.6
United Kingdom,2006,27040.7
United Kingdom,2007,25032.5
United Kingdom,2008,27180.5
United Kingdom,2009,24835.3
United Kingdom,2010,25561
United Kingdom,2011,33045.7
United Kingdom,2012,30887.9
United Kingdom,2013,29559.6
United Kingdom,2014,27432.2
United Kingdom,2015,31366.3
United Kingdom,2016,30188.2
United Kingdom,2017,26259.6
United Kingdom,2018,24918.7
United States,1995,0
United States,1996,0
United States,1997,0
United States,1998,0
United States,1999,0
United States,2000,0
United States,2001,0
United States,2002,0
United States,2003,0
United States,2004,0
United States,2005,0
United States,2006,0
United States,2007,0
United States,2008,0
United States,2009,0
United States,2010,0
United States,2011,0
United States,2012,0
United States,2013,0
United States,2014,0
United States,2015,0
United States,2016,0
United States,2017,0
United States,2018,0
Argentina,1995,-3714.9
Argentina,1996,-3894.4
Argentina,1997,-5645.4
Argentina,1998,-5977.3
Argentina,1999,-4545.1
Argentina,2000,-4079.7
Argentina,2001,-3337.6
Argentina,2002,-288
Argentina,2003,-938.2
Argentina,2004,-771.4
Argentina,2005,-1421.3
Argentina,2006,-1752.4
Argentina,2007,-2423.5
Argentina,2008,-2683.5
Argentina,2009,-4464.3
Argentina,2010,-5508.1
Argentina,2011,-6548.3
Argentina,2012,-9180.5
Argentina,2013,-8654.8
Argentina,2014,-7529.7
Argentina,2015,-8308.4
Argentina,2016,-8499.2
Argentina,2017,-11526.5
Argentina,2018,-9503.8
Brazil,1995,-6108.6
Brazil,1996,-6345
Brazil,1997,-8320.8
Brazil,1998,-6929.3
Brazil,1999,-2757.7
Brazil,2000,-2589.2
Brazil,2001,-1101.7
Brazil,2002,4574.7
Brazil,2003,6361.2
Brazil,2004,8918.6
Brazil,2005,10186.2
Brazil,2006,10511.8
Brazil,2007,4791.7
Brazil,2008,4873.2
Brazil,2009,-7773.5
Brazil,2010,-12257.7
Brazil,2011,-15470.7
Brazil,2012,-15235
Brazil,2013,-24965.9
Brazil,2014,-23116.2
Brazil,2015,-12492.8
Brazil,2016,-12150
Brazil,2017,-12264.9
Brazil,2018,-15716.3
Brunei Darussalam,1995,-260.6
Brunei Darussalam,1996,-341.1
Brunei Darussalam,1997,-303.2
Brunei Darussalam,1998,-225.5
Brunei Darussalam,1999,76
Brunei Darussalam,2000,-41.6
Brunei Darussalam,2001,-8.2
Brunei Darussalam,2002,-223
Brunei Darussalam,2003,31.1
Brunei Darussalam,2004,-103.5
Brunei Darussalam,2005,189.4
Brunei Darussalam,2006,256.5
Brunei Darussalam,2007,-46
Brunei Darussalam,2008,-344.3
Brunei Darussalam,2009,-365
Brunei Darussalam,2010,-320.9
Brunei Darussalam,2011,-439.7
Brunei Darussalam,2012,-540.9
Brunei Darussalam,2013,-897.3
Brunei Darussalam,2014,-484.3
Brunei Darussalam,2015,-434.5
Brunei Darussalam,2016,-436.9
Brunei Darussalam,2017,-372.3
Brunei Darussalam,2018,-255.5
Bulgaria,1995,-38.5
Bulgaria,1996,-13.6
Bulgaria,1997,37
Bulgaria,1998,77.9
Bulgaria,1999,-15.7
Bulgaria,2000,-31.9
Bulgaria,2001,28.6
Bulgaria,2002,68.8
Bulgaria,2003,5.3
Bulgaria,2004,70.7
Bulgaria,2005,-29.6
Bulgaria,2006,4.4
Bulgaria,2007,187.3
Bulgaria,2008,8.7
Bulgaria,2009,-58.5
Bulgaria,2010,168.5
Bulgaria,2011,423.4
Bulgaria,2012,378.2
Bulgaria,2013,280
Bulgaria,2014,286.9
Bulgaria,2015,378.1
Bulgaria,2016,423.7
Bulgaria,2017,427.8
Bulgaria,2018,762.8
Cambodia,1995,-121.3
Cambodia,1996,-136.1
Cambodia,1997,68.6
Cambodia,1998,152.4
Cambodia,1999,240.6
Cambodia,2000,586.7
Cambodia,2001,868.7
Cambodia,2002,941.9
Cambodia,2003,884.5
Cambodia,2004,997.8
Cambodia,2005,1143.7
Cambodia,2006,1474.9
Cambodia,2007,1739.9
Cambodia,2008,1735.5
Cambodia,2009,1403.2
Cambodia,2010,1298.4
Cambodia,2011,1856.5
Cambodia,2012,2080.5
Cambodia,2013,2020
Cambodia,2014,1926
Cambodia,2015,1926
Cambodia,2016,2035.5
Cambodia,2017,2111.7
Cambodia,2018,2417.1
China,1995,12502.5
China,1996,14945.8
China,1997,24015.4
China,1998,34798.9
China,1999,38617.5
China,2000,43631.1
China,2001,47298.7
China,2002,66163.3
China,2003,86579.4
China,2004,112275.4
China,2005,146453.2
China,2006,177613.7
China,2007,202430.7
China,2008,201373.2
China,2009,156998.4
China,2010,182661.4
China,2011,199206.4
China,2012,229690.1
China,2013,213736.6
China,2014,222845.9
China,2015,225392.1
China,2016,212484.3
China,2017,231671.8
China,2018,259088.5
Costa Rica,1995,-406.5
Costa Rica,1996,-293.2
Costa Rica,1997,-556.9
Costa Rica,1998,-961.2
Costa Rica,1999,-623.8
Costa Rica,2000,-393.7
Costa Rica,2001,-487.5
Costa Rica,2002,-625.7
Costa Rica,2003,-811.5
Costa Rica,2004,-641.6
Costa Rica,2005,-778.2
Costa Rica,2006,-455.5
Costa Rica,2007,-1005.8
Costa Rica,2008,-1832.6
Costa Rica,2009,-713.6
Costa Rica,2010,-1945.3
Costa Rica,2011,-2238.1
Costa Rica,2012,-3155.3
Costa Rica,2013,-2642.5
Costa Rica,2014,-2316.5
Costa Rica,2015,-1317.3
Costa Rica,2016,-623.7
Costa Rica,2017,-807.7
Costa Rica,2018,-757.6
Croatia,1995,-42.2
Croatia,1996,-67.6
Croatia,1997,-133.2
Croatia,1998,-32.5
Croatia,1999,-13.6
Croatia,2000,38.1
Croatia,2001,156.2
Croatia,2002,27.9
Croatia,2003,29.1
Croatia,2004,120.4
Croatia,2005,157.3
Croatia,2006,160.7
Croatia,2007,147.9
Croatia,2008,-256
Croatia,2009,-291.3
Croatia,2010,-19
Croatia,2011,-23.9
Croatia,2012,174.3
Croatia,2013,405.9
Croatia,2014,566.8
Croatia,2015,788.1
Croatia,2016,481.2
Croatia,2017,517.9
Croatia,2018,384.3
Cyprus,1995,-579.7
Cyprus,1996,-670.3
Cyprus,1997,-746.8
Cyprus,1998,-396
Cyprus,1999,-255.3
Cyprus,2000,-288.4
Cyprus,2001,-280
Cyprus,2002,-205.3
Cyprus,2003,-244.7
Cyprus,2004,104.6
Cyprus,2005,128.5
Cyprus,2006,-69.8
Cyprus,2007,49.7
Cyprus,2008,-256.9
Cyprus,2009,-37
Cyprus,2010,-195.8
