Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Year
01/01/2010,10.375,8.13333,10.3,7.85833,12.45833,9.14167,9.55833,8.65833,9.95,10.825,10.65833,6.825,8.75833,10.46667,10.08333,6.11667,6.93333,10.26667,7.51667,8.41667,7.825,8.05833,12.19167,7.39167,10.08333,9.50833,7.18333,4.7,13.73333,6.08333,9.65833,7.775,8.71667,10.71667,3.69167,10.26667,6.5,10.69167,8.16667,11.625,11.3,4.90833,9.825,8.19167,7.93333,6.31667,7.29167,9.13333,8.63333,8.5,6.94167,2010
01/01/2011,9.58333,7.73333,9.43333,7.90833,11.89167,8.69167,9.01667,7.60833,10.19167,10,10.15833,6.83333,8.16667,9.75833,8.90833,5.65,6.38333,9.375,7.43333,7.725,7.31667,7.225,10.00833,6.525,9.775,8.64167,6.625,4.4,13.31667,5.45,9.375,7.21667,8.35833,10.23333,3.35833,8.81667,5.59167,9.60833,7.74167,11.01667,10.45,4.6,9.10833,8.01667,7.05833,5.56667,6.54167,8.525,7.825,7.53333,6.13333,2011
01/01/2012,8.15833,7.25,8.35,7.26667,10.525,8,8.35833,7.06667,8.975,8.66667,9.04167,5.9,7.4,9.05,8.225,5.05833,5.71667,8.2,6.76667,7.19167,6.86667,6.7,9.05833,5.65,8.825,7.19167,5.8,3.88333,11.60833,5.46667,9.38333,6.96667,8.625,9.51667,2.93333,7.40833,5.11667,8.80833,7.65833,10.21667,9.03333,4.05833,7.95833,6.70833,4.775,4.81667,5.95,7.64167,7.25833,6.925,5.5,2012
01/01/2013,7.325,6.99167,7.81667,7.04167,9.03333,6.75,7.95,6.60833,8.43333,7.53333,8.14167,4.75833,6.81667,9.075,7.5,4.725,5.3,7.91667,6.41667,6.68333,6.51667,6.64167,8.725,5.04167,8.49167,6.775,5.34167,3.675,9.96667,5.25,8.375,6.90833,7.79167,7.73333,2.89167,7.45833,5.11667,7.75,7.1,9.475,7.425,3.7,7.725,6.3,4.20833,4.41667,5.55,6.63333,6.71667,6.64167,4.73333,2013
01/01/2014,6.73333,6.74167,6.79167,5.9,7.56667,4.98333,6.61667,5.60833,7.70833,6.43333,7.14167,4.23333,4.38333,7.16667,5.95,4.225,4.50833,6.41667,6.25,5.55833,5.73333,5.74167,7.23333,4.26667,7.59167,6.15,4.66667,3.25,8.15833,4.325,6.73333,6.59167,6.29167,6.10833,2.61667,5.8,4.33333,6.64167,5.93333,7.76667,6.275,3.33333,6.6,5.19167,3.63333,3.99167,5.11667,5.925,6.5,5.35,4.34167,2014
01/01/2015,6.125,6.275,6.075,4.95,6.225,3.74167,5.61667,4.79167,6.91667,5.525,6.075,3.41667,3.86667,5.99167,4.78333,3.69167,4.15,5.23333,6.29167,4.38333,4.99167,4.79167,5.425,3.79167,6.48333,5.10833,4.29167,2.98333,6.85,3.39167,5.7,6.6,5.23333,5.65833,2.78333,4.95,4.29167,5.46667,5.39167,6.025,5.9,3.05,5.56667,4.48333,3.50833,3.53333,4.36667,5.43333,6.58333,4.425,4.20833,2015
01/01/2016,5.90833,6.6,5.48333,3.98333,5.51667,3.13333,4.86667,4.525,6.23333,4.91667,5.46667,2.89167,3.675,5.88333,4.36667,3.575,4.01667,5.03333,6.06667,3.775,4.29167,4.04167,5.00833,3.875,5.96667,4.55,4.325,3.06667,5.80833,2.88333,4.94167,6.75,4.875,5.1,3.1,5.075,4.65833,4.75,5.34167,5.24167,4.91667,3.01667,4.75833,4.65,3.35,3.125,4,5.225,6.09167,3.90833,5.33333,2016
01/01/2017,4.50833,6.50833,4.975,3.74167,4.83333,2.60833,4.41667,4.46667,6.1,4.3,4.75833,2.21667,3.21667,4.95,3.49167,3.05833,3.61667,4.775,5.10833,3.35833,4,3.79167,4.575,3.48333,5.23333,3.74167,4.09167,2.975,4.98333,2.80833,4.53333,6.04167,4.63333,4.525,2.60833,4.96667,4.03333,4.05833,4.975,4.50833,4.2,3.05,3.75,4.34167,3.16667,3.00833,3.66667,4.64167,5.20833,3.25833,4.325,2017
01/01/2018,3.91667,5.96667,4.80833,3.63333,4.25833,3.00833,3.93333,3.775,5.65833,3.7,4.025,2.35833,2.9,4.375,3.40833,2.525,3.275,4.2,4.81667,3.10833,3.66667,3.45,4.18333,3.14167,4.96667,3.15833,3.75,2.90833,4.375,2.64167,3.98333,4.90833,4.1,4.01667,2.36667,4.5,3.29167,4.03333,4.45,4.075,3.4,2.79167,3.5,3.9,2.925,2.61667,2.95,4.45,5.18333,2.975,4.05,2018
01/01/2019,3.15833,5.475,4.85833,3.46667,4.11667,2.6,3.53333,3.7,5.34167,3.225,3.60833,2.425,2.96667,3.94167,3.29167,2.59167,3.125,4.08333,4.625,2.775,3.425,3.05833,4.09167,3.43333,5.44167,3.09167,3.575,3.05,4,2.60833,3.39167,4.94167,3.825,3.84167,2.10833,4.18333,3.10833,3.725,4.45833,3.55833,2.79167,2.8,3.4,3.51667,2.58333,2.325,2.75,4.3,4.9,3.18333,3.75,2019
01/01/2020,6.5,8.26667,7.7,6.08333,10.275,6.88333,7.825,7.55,7.925,8.26667,6.50833,12.04167,5.49167,9.21667,7.275,5.16667,5.68333,6.425,8.76667,5.1,6.725,9.45,10.05833,6.35833,7.96667,6.125,5.775,4.15,13.78333,6.78333,9.49167,8.125,9.94167,7.15833,5.125,8.28333,6.24167,7.61667,9.09167,9.23333,5.99167,4.36667,7.45,7.70833,4.73333,5.56667,6.24167,8.46667,8.2,6.34167,5.80833,2020
01/01/2021,3.45,6.425,4.95,4.05833,7.36667,5.40833,6.3,5.39167,6.675,4.6,3.94167,5.775,3.59167,6.125,3.61667,4.275,3.28333,4.70833,5.475,4.63333,5.78333,5.75833,5.93333,3.425,5.625,4.375,3.4,2.51667,7.25,3.53333,6.39167,6.80833,6.95833,4.84167,3.68333,5.16667,3.89167,5.24167,6.41667,5.675,4.01667,3.13333,4.31667,5.70833,2.71667,3.45,3.925,5.28333,5.075,3.81667,4.51667,2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
